snt_id,sdr,sdr_i,si-snr,si-snr_i
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/6829_1089/mix.wav,9.505535125732422,10.03757095336914,9.07779312133789,9.696070671081543
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/5639_8463/mix.wav,9.963715553283691,10.396728515625,9.710431098937988,10.194181442260742
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8555_5639/mix.wav,11.543096542358398,11.5930757522583,11.099267959594727,11.227826118469238
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8555_8455/mix.wav,17.433425903320312,17.464717864990234,17.165212631225586,17.210128784179688
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2961_672/mix.wav,10.918769836425781,10.852256774902344,9.926736831665039,9.978885650634766
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/4970_2830/mix.wav,13.146814346313477,13.271424293518066,12.650308609008789,12.833353042602539
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8230_8455/mix.wav,13.243234634399414,13.211668968200684,12.661996841430664,12.69812297821045
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2300_8463/mix.wav,13.607065200805664,13.609657287597656,13.143667221069336,13.214349746704102
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/1284_3570/mix.wav,13.611885070800781,13.727333068847656,12.995161056518555,13.189088821411133
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/5105_1188/mix.wav,12.008686065673828,12.063862800598145,11.306558609008789,11.417600631713867
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/7127_4507/mix.wav,12.427088737487793,12.544593811035156,11.943535804748535,12.287551879882812
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8230_1089/mix.wav,13.058895111083984,13.107650756835938,12.813037872314453,12.902442932128906
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/121_4992/mix.wav,14.858664512634277,15.022550582885742,14.564414024353027,14.7529935836792
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2094_7021/mix.wav,15.95425033569336,15.85693359375,15.386112213134766,15.360161781311035
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/908_7729/mix.wav,8.689922332763672,8.768033027648926,8.396770477294922,8.631081581115723
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2961_3575/mix.wav,11.77326774597168,12.005157470703125,11.205977439880371,11.49786376953125
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/7176_2300/mix.wav,13.878763198852539,13.700715065002441,13.575159072875977,13.445134162902832
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/908_2094/mix.wav,14.166603088378906,14.248933792114258,13.684049606323242,13.825679779052734
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/1221_5639/mix.wav,16.357135772705078,16.414653778076172,15.906316757202148,15.985584259033203
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/1580_8224/mix.wav,15.644023895263672,15.722635269165039,14.993029594421387,15.14119815826416
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/237_4992/mix.wav,10.553779602050781,10.662407875061035,10.142939567565918,10.320652961730957
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2094_8224/mix.wav,11.232648849487305,11.15837287902832,10.110474586486816,10.0869140625
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2830_1284/mix.wav,11.293575286865234,11.430919647216797,10.896990776062012,11.09422779083252
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8463_4970/mix.wav,14.353713989257812,14.456255912780762,13.836507797241211,13.983160972595215
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8230_2300/mix.wav,10.35545539855957,10.776825904846191,9.934123992919922,10.429702758789062
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/1995_1580/mix.wav,18.764148712158203,18.741044998168945,18.31370735168457,18.342153549194336
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2300_1284/mix.wav,12.704215049743652,13.00326156616211,12.446784973144531,12.776891708374023
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/5683_1284/mix.wav,13.484792709350586,13.866292953491211,13.01727294921875,13.4247407913208
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/61_4507/mix.wav,10.117839813232422,10.100131034851074,9.68271541595459,9.767370223999023
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8463_7729/mix.wav,12.668731689453125,12.898926734924316,12.393800735473633,12.673381805419922
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/7021_2830/mix.wav,11.15313720703125,11.643888473510742,10.829221725463867,11.358041763305664
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/1284_7127/mix.wav,10.058980941772461,10.128812789916992,9.648645401000977,9.923301696777344
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/3570_7127/mix.wav,13.778374671936035,13.570060729980469,13.412422180175781,13.314083099365234
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/6829_4077/mix.wav,11.060157775878906,11.254755020141602,10.679046630859375,10.914697647094727
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8555_4970/mix.wav,13.903824806213379,14.119668960571289,13.70462417602539,13.945022583007812
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/7021_3570/mix.wav,14.069940567016602,14.104576110839844,13.593290328979492,13.672412872314453
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/4446_8224/mix.wav,13.099906921386719,13.003573417663574,12.35636043548584,12.317554473876953
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/3575_1320/mix.wav,9.993973731994629,10.554536819458008,8.670044898986816,9.296003341674805
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2961_3729/mix.wav,12.053857803344727,11.91057014465332,11.55368709564209,11.529851913452148
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8224_61/mix.wav,8.605691909790039,8.204620361328125,6.993238925933838,6.6753668785095215
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/4077_7729/mix.wav,12.471752166748047,12.77353286743164,11.926229476928711,12.292279243469238
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/3729_7021/mix.wav,11.653703689575195,11.932354927062988,11.333222389221191,11.684822082519531
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/4507_1221/mix.wav,11.453369140625,11.730494499206543,10.50771713256836,10.866250038146973
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/4446_1089/mix.wav,12.833834648132324,13.132181167602539,12.562722206115723,12.905609130859375
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/5142_2830/mix.wav,12.539685249328613,12.69051742553711,12.071662902832031,12.306208610534668
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/7127_672/mix.wav,15.421947479248047,15.687036514282227,15.164283752441406,15.440629959106445
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/2830_8555/mix.wav,15.345410346984863,15.340349197387695,14.765131950378418,14.834004402160645
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/4507_5142/mix.wav,15.923187255859375,16.010177612304688,15.611787796020508,15.719860076904297
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8230_2094/mix.wav,11.445959091186523,11.4976167678833,10.58713150024414,10.681173324584961
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/8463_5142/mix.wav,14.00684928894043,14.044672966003418,13.669687271118164,13.760272979736328
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/121_6930/mix.wav,12.673014640808105,12.8421049118042,12.302095413208008,12.52109432220459
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/5142_260/mix.wav,15.050618171691895,15.036845207214355,14.505571365356445,14.576321601867676
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/237_3570/mix.wav,11.511931419372559,11.993009567260742,11.141073226928711,11.665390014648438
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/1221_3575/mix.wav,13.346389770507812,13.445537567138672,12.793668746948242,12.954988479614258
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/5105_5683/mix.wav,10.354172706604004,10.665090560913086,9.073920249938965,9.453839302062988
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/5105_61/mix.wav,12.999814987182617,12.799003601074219,12.498153686523438,12.385486602783203
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/908_8455/mix.wav,14.419624328613281,14.297703742980957,13.984601974487305,14.006498336791992
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/1089_6829/mix.wav,11.668869972229004,11.722196578979492,11.302286148071289,11.419694900512695
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/5105_2830/mix.wav,10.817787170410156,7.799139976501465,8.669027328491211,6.792843818664551
/data/public/EchoSet/test/VLzqgDo317F/0_8_meetingroom_conferenceroom/1188_4077/mix.wav,11.895435333251953,12.115610122680664,11.261229515075684,11.513811111450195
