mixture_mode,n_active,rows,se_sisdr_all_i_count,se_sisdr_all_i_mean,se_sisdr_all_i_std,se_sisdr_all_i_median,se_sisdr_all_i_p10,se_sisdr_all_i_p90,sisdr_active_i_count,sisdr_active_i_mean,sisdr_active_i_std,sisdr_active_i_median,sisdr_active_i_p10,sisdr_active_i_p90,residual_loss_count,residual_loss_mean,residual_loss_std,residual_loss_median,residual_loss_p10,residual_loss_p90
manifest,0,211,211,13.95113961730523,2.7256615186743156,13.278858184814451,12.01764678955078,15.817193984985352,0,,,,,,211,0.6712588307964152,0.5112068379436459,0.9779093861579896,0.024304661899805,1.1588670015335083
manifest,1,2242,2242,12.673088890436395,1.7606010501931812,12.541688919067383,10.936135864257812,14.721764373779296,2242,2.7961467568306495,4.999600998680723,1.0676422119140625,-0.0011867523193358495,7.386112880706788,2242,1.7637071388040026,0.8206278869349399,1.5381170511245728,1.10809326171875,2.672580432891846
manifest,2,2748,2748,10.745715978364236,2.07075789761092,10.708141326904297,8.717310333251953,13.033098602294922,2748,3.6627731559231465,3.2958832330830576,3.031614303588867,0.5333995819091797,7.359924888610842,2748,1.813250395863858,0.7994432578730676,1.577982485294342,1.1586063981056214,2.7519035339355473
manifest,3,1654,1654,8.120747154540277,2.6774129993320313,8.2103271484375,5.162961196899414,11.000440216064453,1654,3.5054530861011584,2.8103724511894,2.940066337585449,0.7932760238647462,6.974264812469483,1654,1.8698388694851977,0.8417035957754119,1.6121710538864136,1.1784814953804017,2.8701638698577883
manifest,4,435,435,2.9943828297757555,3.2599988572724796,2.794780731201172,-0.39030647277832026,6.577087783813477,435,2.9658823605241444,3.2456649388173044,2.7930984497070312,-0.39192390441894526,6.553141784667969,435,1.875334593208357,0.7493460878951701,1.6460425853729248,1.2342214822769164,2.765330934524536
target_sum,0,211,211,2.2018726199724097,6.756637709815584,0.0,0.0,7.987690210342407,0,,,,,,211,0.000569015558205906,0.002118181953547383,0.0,0.0,3.2156052043319505e-07
target_sum,1,2242,2242,11.847685417673825,5.263864792719241,10.563793182373049,7.637422943115235,18.562788391113283,2242,-16.639638378405337,12.555383123739617,-20.563770294189453,-25.877696990966797,-0.0015581130981444549,2242,0.0057895012588093705,0.0027055435149888037,0.00576071417890485,0.0021540151908993298,0.009538622200489
target_sum,2,2748,2748,16.735333275326475,9.109588183909514,12.923611640930176,9.384966850280762,34.64388036727905,2748,13.758990407033092,17.832997780608295,4.984948664903641,0.45301457643508886,50.09424362182617,2748,0.006140848036281467,0.003977987796377777,0.005715804407373,0.0020845540333538698,0.0097639172337949
target_sum,3,1654,1654,11.07854215845808,5.646057573805811,9.45734691619873,5.70180721282959,20.938665246963502,1654,6.96438387937944,6.585094547392293,4.459546864032745,1.1172141909599305,19.229017424583436,1654,0.006415672780100675,0.0047542193711998144,0.005502398358657901,0.00216523013077669,0.010602481476962484
target_sum,4,435,435,4.39161043783714,3.9425205196384803,3.565023183822632,0.5917834281921387,9.63026266098023,435,4.3915798929916035,3.9425049219155386,3.5650792121887207,0.5917943000793457,9.630202054977424,435,0.006817100662871846,0.005286555695367053,0.0054993028752505,0.00205585635267194,0.013347712717950303
