mixture_mode,rows,se_sisdr_all_i_count,se_sisdr_all_i_mean,se_sisdr_all_i_std,se_sisdr_all_i_median,se_sisdr_all_i_p10,se_sisdr_all_i_p90,sisdr_active_i_count,sisdr_active_i_mean,sisdr_active_i_std,sisdr_active_i_median,sisdr_active_i_p10,sisdr_active_i_p90,residual_loss_count,residual_loss_mean,residual_loss_std,residual_loss_median,residual_loss_p10,residual_loss_p90
manifest,7290,7290,10.37314891422727,3.389989435839393,10.902050018310547,5.933485031127931,13.812075424194337,7079,3.308721555661879,3.8430014325944617,2.47952651977539,0.0016201019287109004,7.22560577392578,7290,1.7815038607002265,0.8294522186871842,1.5574600696563723,1.1244072556495666,2.744068002700806
target_sum,7290,7290,12.791503558351833,7.970196301221628,11.010674476623535,5.640103435516358,23.893566608428966,7079,1.9682249730310941,18.821799568751665,2.3618974685668945,-22.650341796875,22.80260443687437,7290,0.005974229914316775,0.004010824120268715,0.0055722226388752,0.0018368115765042402,0.009806659817695572
