mixture_mode,session,rows,se_sisdr_all_count,se_sisdr_all_mean,se_sisdr_all_std,se_sisdr_all_median,se_sisdr_all_p10,se_sisdr_all_p90,se_sisdr_all_i_count,se_sisdr_all_i_mean,se_sisdr_all_i_std,se_sisdr_all_i_median,se_sisdr_all_i_p10,se_sisdr_all_i_p90,sisdr_active_count,sisdr_active_mean,sisdr_active_std,sisdr_active_median,sisdr_active_p10,sisdr_active_p90,sisdr_active_i_count,sisdr_active_i_mean,sisdr_active_i_std,sisdr_active_i_median,sisdr_active_i_p10,sisdr_active_i_p90,residual_loss_count,residual_loss_mean,residual_loss_std,residual_loss_median,residual_loss_p10,residual_loss_p90
manifest,dev_02,729,729,-48.00234990061065,12.347998222873818,-48.02300262451172,-62.676405334472655,-32.38362121582031,729,10.404348339400011,3.3665969584075848,11.001106262207031,5.894866943359375,13.668279266357422,703,-23.290184012856624,6.329913365825035,-23.251953125,-31.74218444824219,-15.498522567749022,703,3.541640073442527,4.401646513950003,2.412750244140625,0.0012172698974609,8.287008666992188,729,1.4817970709923773,0.3720278162618503,1.4187101125717163,1.0958793401718139,1.9416959047317504
manifest,dev_03,729,729,-44.13967402318214,13.432563580912838,-45.89113235473633,-60.04207153320312,-20.19293289184569,729,10.543811005329399,3.0783605320857825,11.120742797851562,6.7373802185058596,13.479295349121095,656,-21.81031717032921,6.002337486019988,-21.443050384521484,-29.69927215576172,-14.513712882995605,656,2.624220856806127,3.412280892176814,2.061192512512207,0.00042819976806635,5.5334272384643555,729,2.22917468555844,1.0579874172952974,2.202070713043213,1.0911889791488647,3.400746536254883
manifest,dev_04,729,729,-44.00114992714713,11.902649539551678,-44.6896858215332,-59.97256011962891,-28.583302688598632,729,10.057193507546424,3.5987523783306594,10.720340728759766,5.03436050415039,13.517063903808596,707,-22.399364843058283,6.240774450096105,-22.28597068786621,-30.22210578918457,-14.631263351440431,707,3.3182755932949557,3.353412240573215,2.808563232421875,0.0037067413330077645,6.7570976257324205,729,1.733383816203156,0.7243250143376706,1.5177620649337769,1.1048040628433229,2.7079930782318122
manifest,dev_05,729,729,-45.246393112161684,11.75711610183979,-46.20816802978516,-61.10276870727539,-29.793167114257812,729,10.256841110103906,3.518935070372466,10.83647918701172,5.5779975891113285,13.911412048339846,716,-21.85107797484158,6.066760416094473,-21.294198989868164,-30.043519973754883,-14.447855472564697,716,3.3763432369551847,3.912450787512281,2.6346960067749023,0.034219741821289,7.05546760559082,729,1.4689343299394773,0.29494966610627876,1.4153908491134644,1.1600355386734011,1.8617859363555904
manifest,dev_06,729,729,-53.639541157642675,12.501694341313076,-54.358924865722656,-67.58014221191407,-35.13729400634766,729,11.912849353010598,3.128185508695247,12.335487365722656,7.650288391113281,15.131613159179688,718,-23.586514167466866,6.201195530315814,-23.302681922912598,-31.36086959838867,-15.90310468673706,718,3.8910942436260765,4.601658574384334,2.7112016677856445,-7.438659667968742e-05,9.146293258666999,729,1.641754098798676,0.8164073011105054,1.2388041019439695,1.101329779624939,2.8276943206787117
manifest,dev_07,729,729,-50.03383609264149,10.637437911899374,-49.60562896728516,-62.139747619628906,-35.1415168762207,729,10.872741709684313,2.888694687392059,11.26799774169922,7.761247253417968,13.743640136718751,707,-23.03390771698581,6.864058494729926,-22.623497009277344,-31.555751800537113,-14.54317092895508,707,3.104529317399906,3.738927472865323,2.315418243408203,0.0893405914306642,6.821660232543945,729,1.8652426883353455,0.884419303211048,1.6131857633590698,1.1751231908798219,2.784526014328003
manifest,dev_09,729,729,-44.58105643786521,11.195938276180636,-45.35667419433594,-60.46975250244141,-30.51090087890625,729,10.454698994326494,3.7527337152101854,10.872303009033203,5.323158264160156,14.463456726074218,720,-22.24720759126875,5.962810986350415,-22.14316272735596,-30.238719940185547,-14.538603878021242,720,3.8418885635005102,3.893238932035553,3.073272705078125,0.0013810157775878506,8.745512008666994,729,1.37763667778356,0.42432999012573835,1.2377736568450928,1.052698278427124,1.9059945821762085
manifest,dev_10,729,729,-46.46526381148559,10.159159598354684,-46.74250793457031,-60.77793960571289,-33.28712768554688,729,9.770089893838179,3.1830809924893635,10.322040557861328,5.653436279296875,12.914997863769532,713,-25.96940055568957,6.465666750041627,-25.744853973388672,-34.31413879394531,-17.992152404785145,713,3.3580376061951798,3.566910230998808,2.5498294830322266,0.29952087402343747,7.236675262451172,729,2.387291136485191,1.281421293242943,2.012359380722046,1.3275235652923583,3.7911685466766376
manifest,dev_11,729,729,-44.71881182268977,11.68574913443207,-45.5024642944336,-60.14634399414062,-29.791127395629882,729,9.494862858650615,3.379588676520679,9.992439270019531,5.109894943237305,12.980079650878906,718,-20.468590641752257,6.0391701341575414,-20.110275268554688,-28.114734077453612,-13.117006397247302,718,2.8633906937575273,3.138765416577779,2.33721923828125,0.0016737937927246008,5.789694976806643,729,1.8221393966707509,0.5195893110949189,1.7399195432662964,1.260829448699951,2.4854100704193116
manifest,dev_12,729,729,-47.95309109942903,10.891332117928458,-48.04325866699219,-62.0677848815918,-33.25245208740234,729,9.964052370382761,3.327615042784687,10.49822998046875,6.146991729736328,13.112650299072266,721,-23.623922012053978,6.220992394403258,-23.12778854370117,-31.411375045776367,-15.718871116638184,721,3.110447219605254,3.9702679383403368,2.289295196533203,0.00164794921875,6.486112594604492,729,1.8076847062352916,0.7264468067638569,1.5827343463897705,1.1962487936019897,2.795339393615723
target_sum,dev_02,729,729,-22.149344184434625,11.583277413856134,-26.394855499267575,-34.369302368164064,-3.5887752532958967,729,12.33042411467339,7.530139043907485,11.15066909790039,5.435939073562622,22.638014602661144,703,23.708315469233177,29.297529895613817,5.256876468658447,-2.5414446830749515,66.59560089111328,703,0.7841759474317452,16.236358621750902,1.7457313537597656,-19.920193481445313,17.031210517883302,729,0.0055988675547253485,0.0032229553853433007,0.0053292773663997,0.00174624766223132,0.009774113260209542
target_sum,dev_03,729,729,-24.325373226150727,13.186827122541196,-31.27419853210449,-36.98302612304688,0.0,729,10.728674996128134,7.595258962701676,9.91971206665039,0.0,18.8980491638184,656,26.47048994277536,29.26342791281168,8.601036071777344,-1.9125751852989197,66.1580581665039,656,-0.9226923829857431,18.910026386936227,1.6744379997253418,-24.98560333251953,16.974139124155045,729,0.005547001249939658,0.004364254436017154,0.0049696760252118,0.00046557871391995974,0.0098143639042973
target_sum,dev_04,729,729,-20.21449434283012,13.030034752970103,-20.057270050048828,-35.566473388671874,-1.8736633777618352,729,13.346863565458028,8.520523314411689,11.074834823608398,5.049353694915771,25.481734275817896,707,24.130075192108094,27.7183518163695,9.989654541015623,-2.5339874267578124,66.43408966064453,707,4.380161955188782,19.72855223105277,3.4376957416534424,-22.61279754638672,30.033618545532203,729,0.005831404646525726,0.0036547318190274856,0.0056211668998003,0.00185950770974154,0.009300150349736141
target_sum,dev_05,729,729,-21.90636435621233,11.95705025699975,-23.689247131347656,-34.63771743774414,-3.774429893493652,729,12.861337085810218,8.024738037324436,11.172165870666504,5.587516784667969,24.182959938049333,716,21.135517880779705,27.25747211354077,5.534292936325073,-2.357253313064575,66.31693649291992,716,3.9560746234131448,17.709609324925193,2.9798022508621216,-20.390045166015625,22.674582719802856,729,0.0062127495923913305,0.004108661328048024,0.0056744618341326,0.0022251194342969996,0.009620892070233804
target_sum,dev_06,729,729,-27.652858623424837,10.728664372276125,-32.52174377441406,-37.09289016723633,-9.472071456909177,729,11.051515418479145,6.236412873124183,9.989103317260742,6.026061248779296,15.575876617431652,718,34.84612051026849,31.02115016615062,41.659311294555664,-1.5984279632568357,67.2147102355957,718,-5.267306408077001,18.148272316358618,0.1178393959999084,-24.07407913208008,11.50659348964693,729,0.006314841655689144,0.004402731743113994,0.0057877176441252,0.00223663668148216,0.00959104206413024
target_sum,dev_07,729,729,-22.553346067135553,11.987970182724142,-26.82663345336914,-35.55215148925781,-5.184176063537591,729,15.709396519615163,9.24387054999269,12.750789642333984,7.311149597167969,33.80853004455567,707,34.36319845641553,28.859880120956415,36.47434997558594,0.11132531464099889,67.08858337402344,707,3.0509155333703095,22.775419461514467,2.044790267944336,-23.59226379394531,46.5879566192627,729,0.006141583928704982,0.004328139702043952,0.0059323171153664,0.0017504765419289,0.010147861018776842
target_sum,dev_09,729,729,-21.847663823305663,11.311084790085621,-21.964017868041992,-34.58646087646484,-4.501278686523437,729,11.856060183587878,6.8767571422536315,10.969486236572266,5.483107709884643,18.820042514801024,720,15.178785848228209,25.012798102259225,2.7470096349716187,-3.3901152610778804,66.17781372070313,720,3.1936687525659284,14.586612070186375,2.73937451839447,-19.155639648437496,16.592962932586673,729,0.006180386306668119,0.004224204845422288,0.0056942165829241,0.00196977150626474,0.01007032897323366
target_sum,dev_10,729,729,-22.870910359017643,11.725316093924643,-25.360145568847656,-35.93912353515625,-4.886085128784172,729,13.096396252942183,7.35622202322996,11.571453094482422,6.406537246704102,23.36271286010743,713,21.09682862112641,26.234343881998875,6.983444690704346,-2.0365739822387696,66.07646484375,713,3.4112125812346563,16.993455886305743,2.7085113525390625,-22.111407470703128,21.353564548492436,729,0.005803951555898719,0.003808198444359337,0.0056542037054896,0.0017097397940233,0.00980498157441608
target_sum,dev_11,729,729,-22.629987228227414,12.527459766273038,-24.57933807373047,-36.802006530761716,-3.82860460281372,729,12.787189504410177,8.224607255365276,10.507373809814451,5.633088302612305,25.359508514404297,718,23.567299169132845,27.883700195331816,7.312635660171509,-2.401876139640808,66.18006134033203,718,3.703000057524999,19.4318633992077,3.315902352333069,-23.59559783935547,28.96339073181171,729,0.006246733534015955,0.004425675095557069,0.0055849072523415,0.00198693322017784,0.010267776250839222
